Name,SMILES
A74537,O=C(NC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)NC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A13931,O=c1n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A94974,O=c1[nH]c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A12612564,CCCn1c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A748590,Cc1cn(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A3063036,CCCC(C)C1(CC)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C1=O
A173882,Cc1cc(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A125599,CCC1(CCC(C)C)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C1=O
A44459941,Cn1cnc2c1c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A135416058,Cn1nc(OCC(=O)N2CCN(c3ccccc3)CC2)cc1-c1nc2c([nH]1)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n2C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A3025641,O=C1C(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A28108,CCC1(c2ccccc2)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C1=O
A22995178,O=c1c2[nH]cnc2n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A6448972,COc1ccc(C=Cc2nc3c([nH]2)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n3C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)cc1OC
A203324,O=C1N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)C(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A446158,O=C1N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(Cc2ccccc2)C(O)C(O)C(Cc2ccccc2)N1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A26521,CCC1(CC)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(=O)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C1=O
A6448604,COc1cc(C=Cc2nc3c([nH]2)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n3C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)cc(OC)c1OC
A78566,Nc1cc(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A6448605,COc1cc(C=Cc2nc3c(c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n3C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)n2C)cc(OC)c1OC
A157885,O=C1N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)CCCN1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A165554,O=c1ccn(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A9926882,O=c1c2[nH]c(C3CCCCC3)nc2n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A6448973,COc1ccc(C=Cc2nc3c(c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n3C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)n2C)cc1OC
A20281512,O=C(N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)N(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A266207,O=NN(C(=O)NC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
A13525062,Nc1c(N)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c1=O
A141368,O=c1n(Cc2ccccc2)c(=O)n(C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F)c(=O)n1C(F)(F)C(F)(OC(F)(F)F)C(F)(F)F
